region,year,vrp,real_vrp,population,real_vrp_pop
Алтайский край,2016,532401532.7,532401532.7,2314315.0,230.04713390355246
Алтайский край,2017,545303023.6,54151243654.41907,2290644.0,238.05664415771287
Алтайский край,2018,579740542.5,58722477989.07647,2263889.0,256.0816994561129
Алтайский край,2019,628146106.2,65088911219.01211,2237107.0,280.78500769073634
Алтайский край,2020,664129207.5999999,68198146235.912125,2208563.0,300.7064809108909
Алтайский край,2021,869672146.3999999,92609237114.86197,2173970.0,400.03870632989407
Алтайский край,2022,944894086.0999999,102833063112.99284,2142941.0,440.9333183228096
Амурская область,2016,297531027.1,297531027.1,799170.0,372.30004517186586
Амурская область,2017,299180978.5,30748302004.111,794737.0,376.45281206235524
Амурская область,2018,334164376.5,34790186371.47996,789657.0,423.17661528992966
Амурская область,2019,395617226.09999996,46954438339.65076,784666.0,504.1855083564217
Амурская область,2020,449317505.79999995,54127857623.70762,778191.0,577.387178469039
Амурская область,2021,548269796.8,71001951406.96924,768631.0,713.3069012308897
Амурская область,2022,603837326.0,79918406158.1163,759884.0,794.6440851498387
Архангельская область,2016,713043881.4,713043881.4,1119189.0,637.1076568836899
Архангельская область,2017,759206476.7,74651570963.61848,1100864.0,689.6460204893611
Архангельская область,2018,865723330.5,84529328140.26547,1081359.0,800.5882694831226
Архангельская область,2019,889974376.4000001,87070997529.66867,1063524.0,836.8164483359097
Архангельская область,2020,781818997.4,71517750712.43648,1046371.0,747.1718897026007
Архангельская область,2021,1080494913.8,104077949185.22116,1026656.0,1052.4410452965744
Архангельская область,2022,1188187141.2000003,117312614162.30785,1010859.0,1175.423220449143
Астраханская область,2016,368485352.8,368485352.8,1002727.0,367.4832260425819
Астраханская область,2017,442608763.29999995,39483386556.64584,999464.0,442.8461288250502
Астраханская область,2018,579209979.1,53994150594.067795,994240.0,582.5655567066302
Астраханская область,2019,601811216.0,57447470652.74576,985507.0,610.6615336065598
Астраханская область,2020,527290168.3,50283534400.639565,974480.0,541.0990151670635
Астраханская область,2021,663770638.3,61209754045.33154,963399.0,688.9882990329032
Астраханская область,2022,765239289.7,71060674798.93793,954164.0,801.9997502525772
Белгородская область,2016,778027773.5,778027773.5,1553965.0,500.6726493196436
Белгородская область,2017,837306782.9,80510267586.53845,1554224.0,538.7297988578223
Белгородская область,2018,911597945.7,89757336192.0,1551910.0,587.4038737426785
Белгородская область,2019,955329249.2,95944451365.80923,1551920.0,615.5789275220372
Белгородская область,2020,997330862.6,100262868414.2131,1549193.0,643.7744442429058
Белгородская область,2021,1359965557.8,140547100629.86383,1540947.0,882.551805999817
Белгородская область,2022,1311232557.0,134426650451.69865,1525496.0,859.545064031633
Брянская область,2016,316489444.49999994,316489444.49999994,1220548.0,259.30110450387855
Брянская область,2017,341177768.9,32837128864.292583,1213075.0,281.25035047297155
Брянская область,2018,367157123.9,36397674457.84407,1202671.0,305.2847569285365
Брянская область,2019,399113785.0,40475669308.62849,1193180.0,334.49587237466267
Брянская область,2020,414179382.3,41835515557.492226,1184133.0,349.77437694921093
Брянская область,2021,482669370.5,50606201778.35319,1171845.0,411.88840716989023
Брянская область,2022,549347089.9,57539531210.325066,1158570.0,474.159601836747
Владимирская область,2016,431549808.29999995,431549808.29999995,1402656.0,307.66617638252
Владимирская область,2017,449849253.5,44672219811.320755,1394996.0,322.4735078093414
Владимирская область,2018,480027849.1999999,47907446717.57695,1384819.0,346.63580525686024
Владимирская область,2019,535493361.20000005,56863332770.44528,1376582.0,389.00215257790677
Владимирская область,2020,553092432.6000001,58614690608.51801,1366384.0,404.785501440298
Владимирская область,2021,730328826.4,87381831898.82515,1350639.0,540.7283710895362
Владимирская область,2022,780490371.6,87220210088.25375,1333872.0,585.1313856202095
